email,username,first_name,last_name,weblink,university_id
fac01@ui.edu,fac001,Lebron001,James001,www.ui.edu/lebron001,61
fac02@ui.edu,fac002,Lebron002,James002,www.ui.edu/lebron002,61
fac03@ui.edu,fac003,Lebron003,James003,www.ui.edu/lebron003,61
fac04@ui.edu,fac004,Lebron004,James004,www.ui.edu/lebron004,61
fac05@ui.edu,fac005,Lebron005,James005,www.ui.edu/lebron005,61
fac06@ui.edu,fac006,Lebron006,James006,www.ui.edu/lebron006,1
fac07@ui.edu,fac007,Lebron007,James007,www.ui.edu/lebron007,1
fac08@ui.edu,fac008,Lebron008,James008,www.ui.edu/lebron008,1
fac09@ui.edu,fac009,Lebron009,James009,www.ui.edu/lebron009,1
fac10@ui.edu,fac010,Lebron010,James010,www.ui.edu/lebron010,1
fac11@ui.edu,fac011,Lebron011,James011,www.ui.edu/lebron011,2
fac12@ui.edu,fac012,Lebron012,James012,www.ui.edu/lebron012,2
fac13@ui.edu,fac013,Lebron013,James013,www.ui.edu/lebron013,2
fac14@ui.edu,fac014,Lebron014,James014,www.ui.edu/lebron014,2
fac15@ui.edu,fac015,Lebron015,James015,www.ui.edu/lebron015,2
fac16@ui.edu,fac016,Lebron016,James016,www.ui.edu/lebron016,3
fac17@ui.edu,fac017,Lebron017,James017,www.ui.edu/lebron017,3
fac18@ui.edu,fac018,Lebron018,James018,www.ui.edu/lebron018,3
fac19@ui.edu,fac019,Lebron019,James019,www.ui.edu/lebron019,3
fac20@ui.edu,fac020,Lebron020,James020,www.ui.edu/lebron020,3
