email,encrypted_password,username,first_name,last_name,reset_password_token,reset_password_sent_at,remember_created_at,sign_in_count,current_sign_in_at,last_sign_in_at,current_sign_in_ip,last_sign_in_ip,session_token,created_at,updated_at,confirmation_token,confirmed_at,confirmation_sent_at,unconfirmed_email,isModerator
harshainfo@gmail.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,harsha_st,Harsha,Pitawela,,,,3,10:56.6,17:38.4,::1,::1,,01:53.6,10:56.6,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@a.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,h_st,Michael,Jordan,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@b.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,b_st,Kobe,Bryant,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@c.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,c_st,Dwayne,Wade,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@d.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,d_st,Manu,Ginobili,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@e.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,e_st,Stephen,Curry,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@f.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,f_st,Kevin,Durant,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@g.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,g_st,Klay,Thompson,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@h.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,l_st,Tony,Parker,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
h@i.com,$2a$10$CX7ijvp8NGdVO9XSR2hil.Uw3SK4VnX5u56EDHHHJ/hZd3ri8qEfu,i_st,Tim,Duncan,,,,1,05:02.2,05:02.2,::1,::1,,01:53.6,05:02.2,prnFe1Nd9BtByKWyJUCv,04:53.3,01:53.6,,f
